@relation dataset_1

@attribute time date 'HH:mm:ss dd/MM/yyyy'
@attribute ABPmean numeric
@attribute HR numeric
@attribute PULSE numeric
@attribute RESP numeric
@attribute SpO2 numeric
@attribute class {0,1}

@data
'09:19:33 19/05/1995',113,100,100,22,100,0
'09:19:34 19/05/1995',113,100,100,22,99,0
'09:19:35 19/05/1995',113,100,101,20,99,0
'09:19:36 19/05/1995',113,101,101,21,98,0
'09:19:37 19/05/1995',113,101,102,21,98,0
'09:19:38 19/05/1995',113,102,103,21,98,0
'09:19:39 19/05/1995',112,102,103,21,98,0
'09:19:40 19/05/1995',113,103,103,21,98,0
'09:19:41 19/05/1995',111,103,103,21,98,0
'09:19:42 19/05/1995',111,103,102,21,98,0
'09:19:43 19/05/1995',111,103,101,21,99,0
'09:19:44 19/05/1995',109,101,100,21,99,0
'09:19:46 19/05/1995',109,101,100,21,99,0
'09:19:47 19/05/1995',109,100,100,20,100,0
'09:19:48 19/05/1995',108,100,100,20,100,0
'09:19:49 19/05/1995',108,101,99,20,99,0
'09:19:50 19/05/1995',108,101,99,20,98,0
'09:19:51 19/05/1995',107,100,99,20,98,0
'09:19:52 19/05/1995',108,100,99,21,98,0
'09:19:53 19/05/1995',109,100,99,21,98,0
'09:19:54 19/05/1995',109,100,100,21,99,0
'09:19:55 19/05/1995',109,100,101,21,99,0
'09:19:56 19/05/1995',110,100,101,21,99,0
'09:19:57 19/05/1995',110,101,101,21,100,0
'09:19:58 19/05/1995',111,101,101,21,100,0
'09:19:59 19/05/1995',112,101,101,21,98,0
'09:20:00 19/05/1995',111,101,101,21,99,0
'09:20:01 19/05/1995',112,101,101,21,99,0
'09:20:02 19/05/1995',111,101,101,21,99,0
'09:20:03 19/05/1995',110,101,101,21,99,0
'09:20:04 19/05/1995',110,101,100,21,99,0
'09:20:05 19/05/1995',109,101,99,21,99,0
'09:20:06 19/05/1995',108,101,98,21,99,0
'09:20:07 19/05/1995',108,100,97,21,99,0
'09:20:08 19/05/1995',108,100,97,21,99,0
'09:20:09 19/05/1995',107,99,97,20,99,0
'09:20:10 19/05/1995',107,99,97,20,99,0
'09:20:11 19/05/1995',107,99,98,20,100,0
'09:20:12 19/05/1995',107,99,98,20,100,0
'09:20:13 19/05/1995',108,99,98,20,100,0
'09:20:14 19/05/1995',108,99,98,20,100,0
'09:20:15 19/05/1995',107,99,98,20,100,0
'09:20:16 19/05/1995',108,99,98,20,99,0
'09:20:17 19/05/1995',109,99,98,20,99,0
'09:20:18 19/05/1995',110,99,98,21,99,0
'09:20:19 19/05/1995',110,99,98,21,98,0
'09:20:20 19/05/1995',111,99,98,21,99,0
'09:20:21 19/05/1995',111,99,98,21,99,0
'09:20:22 19/05/1995',110,99,98,21,99,0
'09:20:23 19/05/1995',111,99,98,21,99,0
'09:20:24 19/05/1995',111,99,98,21,99,0
'09:20:25 19/05/1995',110,99,98,21,99,0
'09:20:26 19/05/1995',110,98,98,21,99,0
'09:20:27 19/05/1995',109,98,98,22,100,0
'09:20:29 19/05/1995',109,98,98,22,100,0
